,Date,Open,High,Low,Close,Volume
0,2021-08-25 08:00:00,447.98,447.99,447.84,447.84,3121.0
1,2021-08-25 08:05:00,447.89,447.89,447.89,447.89,280.0
2,2021-08-25 08:10:00,448.14,448.14,448.14,448.14,917.0
3,2021-08-25 08:15:00,448.32,448.42,448.32,448.42,1125.0
4,2021-08-25 08:25:00,448.26,448.26,448.25,448.26,406.0
5,2021-08-25 08:30:00,448.31,448.31,448.31,448.31,140.0
6,2021-08-25 08:40:00,448.13,448.13,448.13,448.13,102.0
7,2021-08-25 08:55:00,448.18,448.18,448.18,448.18,101.0
8,2021-08-25 09:05:00,448.12,448.12,448.12,448.12,1313.0
9,2021-08-25 09:10:00,448.1,448.16,448.1,448.16,820.0
10,2021-08-25 09:15:00,448.15,448.28,448.15,448.28,903.0
11,2021-08-25 09:25:00,448.17,448.17,448.17,448.17,148.0
12,2021-08-25 09:30:00,448.16,448.16,448.12,448.12,604.0
13,2021-08-25 09:35:00,448.09,448.09,448.09,448.09,400.0
14,2021-08-25 09:40:00,448.13,448.13,448.13,448.13,100.0
15,2021-08-25 09:45:00,448.09,448.11,448.09,448.11,300.0
16,2021-08-25 09:55:00,448.13,448.14,448.13,448.14,1676.0
17,2021-08-25 10:15:00,448.15,448.15,448.13,448.13,2554.0
18,2021-08-25 10:20:00,448.12,448.15,448.12,448.15,1858.0
19,2021-08-25 10:25:00,448.14,448.14,448.14,448.14,102.0
20,2021-08-25 10:30:00,448.09,448.09,448.07,448.07,305.0
21,2021-08-25 10:35:00,448.09,448.09,448.07,448.07,285.0
22,2021-08-25 10:40:00,448.13,448.13,448.0,448.0,624.0
23,2021-08-25 10:50:00,448.05,448.05,448.04,448.04,2500.0
24,2021-08-25 10:55:00,448.04,448.14,448.04,448.14,607.0
25,2021-08-25 11:00:00,448.12,448.13,448.04,448.1,3270.0
26,2021-08-25 11:05:00,448.1,448.1,447.87,447.87,4520.0
27,2021-08-25 11:10:00,447.97,447.98,447.94,447.94,5939.0
28,2021-08-25 11:15:00,447.97,448.0,447.94,447.94,3602.0
