Datetime,Open,High,Low,Close,Adj Close,Volume,Pivot
2022-01-03 09:30:00-05:00,15739.1494140625,15794.998046875,15644.0869140625,15769.8125,15769.8125,0,-1
2022-01-03 10:30:00-05:00,15770.0185546875,15783.671875,15733.599609375,15750.416015625,15750.416015625,579518637,0
2022-01-03 11:30:00-05:00,15749.3388671875,15762.6865234375,15719.53515625,15749.2763671875,15749.2763671875,416578000,0
2022-01-03 12:30:00-05:00,15749.365234375,15768.583984375,15743.640625,15765.515625,15765.515625,344053000,0
2022-01-03 13:30:00-05:00,15765.71484375,15801.732421875,15761.5283203125,15797.7744140625,15797.7744140625,347717000,0
2022-01-03 14:30:00-05:00,15797.7900390625,15831.6591796875,15788.7802734375,15819.3779296875,15819.3779296875,415909000,0
2022-01-03 15:30:00-05:00,15819.724609375,15831.1611328125,15790.3486328125,15831.1611328125,15831.1611328125,383386000,1
2022-01-04 09:30:00-05:00,15845.16015625,15848.0859375,15716.671875,15740.4287109375,15740.4287109375,0,0
2022-01-04 10:30:00-05:00,15739.4111328125,15744.44140625,15531.626953125,15553.1875,15553.1875,757591000,0
2022-01-04 11:30:00-05:00,15552.765625,15608.1220703125,15552.697265625,15585.318359375,15585.318359375,484529000,0
2022-01-04 12:30:00-05:00,15583.85546875,15587.1533203125,15552.345703125,15564.9990234375,15564.9990234375,378790000,0
2022-01-04 13:30:00-05:00,15564.482421875,15564.7724609375,15512.9501953125,15532.8203125,15532.8203125,428975000,0
2022-01-04 14:30:00-05:00,15532.724609375,15640.3623046875,15532.70703125,15640.3623046875,15640.3623046875,445030000,0
2022-01-04 15:30:00-05:00,15640.271484375,15666.53125,15622.1171875,15622.1171875,15622.1171875,392168000,0
2022-01-05 09:30:00-05:00,15549.9072265625,15584.7783203125,15472.01953125,15543.384765625,15543.384765625,0,0
2022-01-05 10:30:00-05:00,15541.7724609375,15541.7724609375,15478.564453125,15503.8994140625,15503.8994140625,517847772,0
2022-01-05 11:30:00-05:00,15508.265625,15511.8857421875,15462.1103515625,15472.935546875,15472.935546875,378774000,0
2022-01-05 12:30:00-05:00,15472.3525390625,15472.3525390625,15379.0146484375,15414.7314453125,15414.7314453125,403652000,0
2022-01-05 13:30:00-05:00,15414.232421875,15453.25,15294.583984375,15307.939453125,15307.939453125,452085000,0
2022-01-05 14:30:00-05:00,15308.642578125,15324.6787109375,15154.0625,15165.443359375,15165.443359375,640335000,0
2022-01-05 15:30:00-05:00,15164.4931640625,15206.1884765625,15098.0859375,15099.9833984375,15099.9833984375,437819000,0
2022-01-06 09:30:00-05:00,15040.5263671875,15172.2177734375,14915.806640625,15069.201171875,15069.201171875,0,0
2022-01-06 10:30:00-05:00,15067.330078125,15198.447265625,15067.330078125,15132.234375,15132.234375,612065000,0
2022-01-06 11:30:00-05:00,15135.732421875,15167.3642578125,15089.322265625,15149.638671875,15149.638671875,398566000,0
2022-01-06 12:30:00-05:00,15149.5947265625,15197.6025390625,15101.4072265625,15101.4072265625,15101.4072265625,333581000,0
2022-01-06 13:30:00-05:00,15101.4638671875,15157.791015625,15094.60546875,15122.70703125,15122.70703125,330492000,0
2022-01-06 14:30:00-05:00,15123.138671875,15178.947265625,15112.533203125,15128.9599609375,15128.9599609375,378009000,0
2022-01-06 15:30:00-05:00,15127.955078125,15135.8046875,15048.4638671875,15082.2578125,15082.2578125,389758000,0
2022-01-07 09:30:00-05:00,15090.427734375,15170.3486328125,15010.177734375,15016.232421875,15016.232421875,0,0
2022-01-07 10:30:00-05:00,15014.8349609375,15027.4072265625,14879.67578125,14961.4501953125,14961.4501953125,545489177,0
2022-01-07 11:30:00-05:00,14962.6611328125,15015.498046875,14950.205078125,14976.38671875,14976.38671875,373008000,0
2022-01-07 12:30:00-05:00,14976.4951171875,15005.5947265625,14950.2099609375,14972.8212890625,14972.8212890625,320968000,0
2022-01-07 13:30:00-05:00,14972.6123046875,14992.1884765625,14917.2841796875,14934.4228515625,14934.4228515625,307416000,0
2022-01-07 14:30:00-05:00,14933.69140625,15012.228515625,14930.865234375,14961.115234375,14961.115234375,358112000,0
2022-01-07 15:30:00-05:00,14961.431640625,14986.60546875,14932.3583984375,14934.2421875,14934.2421875,353220000,0
2022-01-10 09:30:00-05:00,14754.3173828125,14772.390625,14571.1669921875,14599.6767578125,14599.6767578125,0,0
2022-01-10 10:30:00-05:00,14596.0556640625,14691.2607421875,14530.6875,14690.36328125,14690.36328125,690704000,0
2022-01-10 11:30:00-05:00,14688.818359375,14688.818359375,14590.388671875,14592.943359375,14592.943359375,461465000,-1
2022-01-10 12:30:00-05:00,14592.6103515625,14721.2275390625,14578.0283203125,14711.611328125,14711.611328125,420405000,0
2022-01-10 13:30:00-05:00,14711.431640625,14829.30078125,14701.3994140625,14825.6826171875,14825.6826171875,414043000,0
2022-01-10 14:30:00-05:00,14825.6533203125,14855.5556640625,14765.0498046875,14824.8828125,14824.8828125,450727000,0
2022-01-10 15:30:00-05:00,14822.71484375,14953.814453125,14805.3251953125,14942.7890625,14942.7890625,495787000,0
2022-01-11 09:30:00-05:00,14912.9716796875,14998.060546875,14838.65234375,14954.5771484375,14954.5771484375,0,0
