Date,Open,High,Low,Close,Adj Close,Volume,Pivot_1,Pivot_2,Pivot_3,Pivot_4,Pivot_5,feature_rsi,feature_vwap,feature_ema,feature_atr
2022-01-06 12:30:00,36365.37109375,36448.390625,36289.0703125,36291.98046875,36291.98046875,28912005,0,0,0,0,1,33.69716529397664,36611.07152237714,36611.24435873554,143.10379464285714
2022-01-06 13:30:00,36292.078125,36320.91015625,36238.9296875,36270.19921875,36270.19921875,30321892,0,0,0,0,0,32.845773587366054,36601.2731398249,36590.560108328806,143.65959821428572
2022-01-06 14:30:00,36271.91015625,36371.41015625,36250.6015625,36306.828125,36306.828125,34514754,0,0,0,0,0,35.82059857809142,36591.859127301694,36573.71297769356,147.55524553571428
2022-01-06 15:30:00,36306.51171875,36309.921875,36200.6796875,36236.390625,36236.390625,49605836,0,0,0,0,0,32.77482897320347,36576.65885183948,36554.07964820503,148.27120535714286
2022-01-07 09:30:00,36249.58984375,36258.3984375,36141.37890625,36222.05078125,36222.05078125,0,0,0,0,0,0,32.167381175899436,36576.65885183948,36535.11452350108,143.619140625
2022-01-07 10:30:00,36221.69140625,36241.80859375,36111.53125,36240.30078125,36240.30078125,47862096,0,0,0,-1,-1,33.869070082392625,36561.12117078022,36518.571263474405,146.30691964285714
2022-01-07 11:30:00,36238.75,36382.83984375,36222.3984375,36311.328125,36311.328125,35226378,0,0,0,0,1,40.23470750503581,36553.630538646925,36507.13521763357,150.85993303571428
2022-01-07 12:30:00,36311.3203125,36344.76171875,36289.8203125,36323.828125,36323.828125,33476763,0,0,0,0,0,41.3191503371705,36547.285732771445,36497.17896791725,147.51729910714286
2022-01-07 13:30:00,36323.55078125,36349.078125,36272.578125,36304.94921875,36304.94921875,28369756,0,0,0,0,0,40.11973111510386,36541.933994449435,36486.893388740355,136.54715401785714
2022-01-07 14:30:00,36304.6015625,36375.05859375,36293.25,36316.19921875,36316.19921875,35412468,0,0,0,1,0,41.22877471747894,36536.107698274034,36477.88879209755,127.86495535714286
2022-01-07 15:30:00,36318.94921875,36339.25,36224.30859375,36228.98046875,36228.98046875,46381013,0,0,0,0,0,35.64520556423406,36526.73506816671,36464.9335559002,123.40290178571429
2022-01-10 09:30:00,36175.2109375,36175.2109375,35687.75,35716.921875,35716.921875,0,0,0,0,0,0,19.088342601022788,36526.73506816671,36426.49415140575,143.44363839285714
2022-01-10 10:30:00,35717.078125,35844.4296875,35639.91015625,35834.3984375,35834.3984375,55865815,0,0,-1,-1,-1,27.51482389104784,36496.686999525424,36396.43301447622,147.03292410714286
2022-01-10 11:30:00,35833.640625,35833.640625,35709.87109375,35778.390625,35778.390625,35565799,0,0,0,0,0,26.101052697239936,36478.800704268084,36365.41298374383,148.39704241071428
2022-01-10 12:30:00,35778.359375,35874.1015625,35747.3203125,35841.4296875,35841.4296875,38593241,0,0,0,0,0,30.48666476627548,36461.59600665797,36339.39935450573,146.07282366071428
2022-01-10 13:30:00,35842.08984375,36015.66015625,35828.078125,35978.30859375,35978.30859375,37712346,0,0,0,0,0,39.054116734217665,36448.6152870915,36321.657723184224,153.61579241071428
2022-01-10 14:30:00,35977.80859375,36002.8203125,35873.6015625,35928.828125,35928.828125,39454734,0,0,0,0,0,37.2439239753972,36435.56744065325,36302.54619700495,154.21651785714286
2022-01-10 15:30:00,35928.37109375,36085.30859375,35904.8515625,36065.01171875,36065.01171875,50825408,0,0,0,0,0,44.91057645170144,36422.34577213353,36291.097940307234,159.30329241071428
2022-01-11 09:30:00,36058.8515625,36093.390625,35769.37890625,35882.01953125,35882.01953125,0,0,0,0,0,1,38.08951770870543,36422.34577213353,36271.55740368376,174.08844866071428
2022-01-11 10:30:00,35885.859375,36044.921875,35808.66015625,36031.37109375,36031.37109375,50170908,0,0,0,0,-1,45.46430943289333,36408.37013229917,36260.18165246912,181.65876116071428
2022-01-11 11:30:00,36031.26953125,36143.76953125,36011.41015625,36055.62890625,36055.62890625,40383020,0,0,0,0,0,46.591573797994,36400.31126239962,36250.57187128314,179.65290178571428
2022-01-11 12:30:00,36056.1015625,36165.921875,36053.9296875,36157.19921875,36157.19921875,27941426,0,0,0,0,0,51.19918428032045,36395.85553898811,36246.21906709665,183.72795758928572
2022-01-11 13:30:00,36157.5390625,36192.37109375,36132.69140625,36189.46875,36189.46875,27835345,0,0,0,0,0,52.61599606870846,36392.287125026975,36243.592944617296,182.52650669642858
2022-01-11 14:30:00,36189.328125,36271.46875,36169.05078125,36250.8515625,36250.8515625,36470409,0,0,0,0,0,55.30847867471892,36388.9833981973,36243.92648279899,183.99860491071428
2022-01-11 15:30:00,36250.62109375,36266.1484375,36184.73828125,36249.859375,36249.859375,46235920,0,0,0,0,0,55.253116459655416,36385.06289786178,36244.19727922596,181.603515625
2022-01-12 09:30:00,36336.16015625,36453.48828125,36324.5703125,36353.5,36353.5,0,0,0,0,0,1,59.83452939731682,36385.06289786178,36249.154347794814,157.48911830357142
2022-01-12 10:30:00,36359.53125,36371.7109375,36168.1484375,36265.87109375,36265.87109375,45840981,0,0,0,0,-1,54.67151124657045,36382.22036290912,36249.90785773283,157.42075892857142
2022-01-12 11:30:00,36266.1796875,36321.55078125,36237.1484375,36292.8203125,36292.8203125,27387623,0,0,0,0,0,55.94682298156002,36380.806668904275,36251.83087547693,154.5546875
2022-01-12 12:30:00,36292.76171875,36362.1484375,36279.7890625,36285.80078125,36285.80078125,23689448,0,0,0,0,1,55.50309906056928,36379.92814006891,36253.34468193159,151.38169642857142
2022-01-12 13:30:00,36285.96875,36303.8203125,36201.25,36275.91015625,36275.91015625,23691772,0,0,0,0,0,54.834606879664115,36378.47749555477,36254.34492208506,145.30943080357142
2022-01-12 14:30:00,36276.28125,36278.44140625,36196.01171875,36247.76953125,36247.76953125,31452649,0,0,0,0,-1,52.8585786551714,36376.29478208855,36254.05494237959,141.96735491071428
2022-01-12 15:30:00,36247.8203125,36341.390625,36228.140625,36296.609375,36296.609375,36442492,0,0,0,0,0,55.86954500752659,36374.715689933444,36255.92250186265,137.16685267857142
